timestamp,frame_id,label,confidence,x,y,width,height,detection_type,fps
2026-03-31 01:03:57.799517,58,person,0.844,423,189,768,522,pose,9.9
2026-03-31 01:03:57.892980,59,person,0.839,419,192,798,518,pose,10.0
2026-03-31 01:03:57.991149,60,person,0.849,427,189,764,521,pose,10.0
2026-03-31 01:03:58.092617,61,person,0.847,425,190,764,521,pose,10.0
2026-03-31 01:03:58.190510,62,person,0.837,425,189,766,521,pose,10.1
2026-03-31 01:03:58.293280,63,person,0.812,415,189,769,521,pose,9.9
2026-03-31 01:03:58.389331,64,person,0.827,418,190,768,520,pose,10.1
2026-03-31 01:03:58.493934,65,person,0.818,412,190,764,521,pose,10.0
2026-03-31 01:03:58.593137,66,person,0.819,416,190,768,521,pose,10.0
2026-03-31 01:03:58.696493,67,person,0.843,424,190,758,521,pose,9.9
2026-03-31 01:03:58.796529,68,person,0.846,422,190,760,521,pose,10.1
2026-03-31 01:03:58.892661,69,person,0.838,421,191,759,519,pose,10.0
2026-03-31 01:03:58.993413,70,person,0.832,419,190,760,520,pose,9.9
2026-03-31 01:03:59.092319,71,person,0.844,422,191,760,519,pose,10.1
2026-03-31 01:03:59.204416,72,person,0.844,421,191,762,519,pose,9.7
2026-03-31 01:03:59.296482,73,person,0.842,426,191,756,519,pose,10.3
2026-03-31 01:03:59.394526,74,person,0.838,422,190,752,520,pose,10.1
2026-03-31 01:03:59.490449,75,person,0.831,421,190,755,521,pose,10.0
2026-03-31 01:03:59.589069,76,person,0.824,422,190,795,520,pose,10.0
2026-03-31 01:03:59.690731,77,person,0.82,407,185,627,526,pose,9.9
2026-03-31 01:03:59.790011,78,person,0.829,400,179,639,534,pose,10.1
2026-03-31 01:03:59.890170,79,person,0.806,387,165,653,547,pose,10.0
2026-03-31 01:03:59.990505,80,person,0.823,370,151,675,560,pose,10.0
2026-03-31 01:04:00.088795,81,person,0.837,391,150,651,561,pose,10.1
2026-03-31 01:04:00.189136,82,person,0.836,390,158,645,553,pose,10.0
2026-03-31 01:04:00.288700,83,person,0.85,410,167,618,545,pose,9.9
2026-03-31 01:04:00.390622,84,person,0.823,431,184,590,527,pose,9.9
2026-03-31 01:04:00.490379,85,person,0.806,447,197,567,514,pose,10.1
2026-03-31 01:04:00.589785,86,person,0.78,459,209,551,503,pose,10.0
2026-03-31 01:04:00.688917,87,person,0.834,464,215,543,498,pose,9.9
2026-03-31 01:04:00.788521,88,person,0.795,460,220,545,493,pose,10.1
2026-03-31 01:04:00.890117,89,person,0.81,462,221,542,493,pose,10.0
2026-03-31 01:04:00.995324,90,person,0.838,461,220,542,493,pose,10.1
2026-03-31 01:04:01.093908,91,person,0.809,466,220,536,492,pose,9.9
2026-03-31 01:04:01.192141,92,person,0.838,467,219,536,492,pose,10.1
2026-03-31 01:04:01.293109,93,person,0.835,467,219,537,492,pose,10.0
2026-03-31 01:04:01.392061,94,person,0.836,471,218,535,494,pose,10.1
2026-03-31 01:04:01.493918,95,person,0.814,465,218,542,493,pose,10.0
2026-03-31 01:04:01.591485,96,person,0.827,466,218,541,493,pose,10.0
2026-03-31 01:04:01.692927,97,person,0.825,466,219,542,492,pose,10.0
2026-03-31 01:04:01.799011,98,person,0.815,467,220,541,491,pose,9.9
2026-03-31 01:04:01.892402,99,person,0.821,466,219,542,492,pose,10.1
2026-03-31 01:04:01.992513,100,person,0.814,465,220,542,491,pose,10.0
2026-03-31 01:04:02.093015,101,person,0.798,465,223,542,488,pose,10.0
2026-03-31 01:04:02.191542,102,person,0.768,461,223,541,488,pose,10.0
2026-03-31 01:04:02.291714,103,person,0.79,470,225,537,485,pose,10.0
2026-03-31 01:04:02.389970,104,person,0.786,469,229,538,482,pose,10.0
2026-03-31 01:04:02.493481,105,person,0.81,466,233,541,477,pose,9.9
2026-03-31 01:04:02.596324,106,person,0.815,442,240,567,472,pose,10.1
2026-03-31 01:04:02.692273,107,person,0.83,429,246,581,467,pose,10.1
2026-03-31 01:04:02.792580,108,person,0.82,423,252,587,461,pose,9.9
2026-03-31 01:04:02.891294,109,person,0.809,421,249,585,463,pose,10.1
2026-03-31 01:04:02.991735,110,person,0.776,422,251,582,461,pose,10.0
2026-03-31 01:04:03.092847,111,person,0.794,425,245,578,467,pose,9.9
2026-03-31 01:04:03.192697,112,person,0.772,447,243,552,468,pose,10.1
2026-03-31 01:04:03.292230,113,person,0.798,466,234,536,476,pose,10.1
2026-03-31 01:04:03.392008,114,person,0.817,468,229,527,481,pose,9.9
2026-03-31 01:04:03.494830,115,person,0.801,458,223,533,488,pose,10.0
2026-03-31 01:04:03.594124,116,person,0.83,466,224,523,487,pose,10.1
2026-03-31 01:04:03.692667,117,person,0.815,471,222,509,490,pose,9.9
2026-03-31 01:04:03.791256,118,person,0.836,476,220,515,491,pose,10.0
2026-03-31 01:04:03.892444,119,person,0.827,474,221,515,490,pose,10.0
2026-03-31 01:04:03.991978,120,person,0.827,472,221,518,490,pose,10.0
2026-03-31 01:04:04.091153,121,person,0.816,471,224,518,488,pose,10.1
2026-03-31 01:04:04.194775,122,person,0.806,470,231,517,482,pose,10.0
2026-03-31 01:04:04.291788,123,person,0.796,461,236,511,477,pose,10.0
2026-03-31 01:04:04.391602,124,person,0.8,486,244,465,468,pose,10.0
2026-03-31 01:04:04.490016,125,person,0.793,477,251,478,461,pose,10.0
2026-03-31 01:04:04.593146,126,person,0.792,491,253,455,460,pose,9.9
2026-03-31 01:04:04.689450,127,person,0.821,491,260,453,453,pose,10.2
2026-03-31 01:04:04.791975,128,person,0.617,470,267,472,445,pose,9.9
2026-03-31 01:04:04.792040,128,person,0.525,472,266,691,445,pose,9.9
2026-03-31 01:04:04.891198,129,person,0.864,497,271,605,440,pose,9.9
2026-03-31 01:04:04.992943,130,person,0.868,466,277,616,433,pose,10.1
2026-03-31 01:04:05.090465,131,person,0.852,492,282,592,429,pose,10.1
2026-03-31 01:04:05.190317,132,person,0.859,509,289,598,424,pose,9.9
2026-03-31 01:04:05.291467,133,person,0.864,505,301,625,412,pose,9.9
2026-03-31 01:04:05.391150,134,person,0.878,508,308,645,405,pose,10.1
2026-03-31 01:04:05.491287,135,person,0.873,508,315,659,399,pose,10.0
2026-03-31 01:04:05.591238,136,person,0.795,510,318,675,398,pose,10.0
2026-03-31 01:04:05.691183,137,person,0.745,484,332,723,384,pose,10.1
2026-03-31 01:04:05.795609,138,person,0.556,484,337,745,377,pose,10.0
2026-03-31 01:04:05.891362,139,person,0.662,513,337,737,377,pose,10.0
2026-03-31 01:04:05.992404,140,person,0.79,517,352,752,363,pose,10.0
2026-03-31 01:04:06.090390,141,person,0.796,514,358,755,358,pose,10.0
2026-03-31 01:04:06.191564,142,person,0.832,511,369,747,348,pose,10.0
2026-03-31 01:04:06.289631,143,person,0.814,510,365,734,349,pose,10.1
2026-03-31 01:04:06.390192,144,person,0.848,512,372,713,343,pose,10.0
2026-03-31 01:04:06.490806,145,person,0.773,507,363,707,351,pose,10.0
2026-03-31 01:04:06.589230,146,person,0.802,503,358,712,357,pose,10.1
2026-03-31 01:04:06.692092,147,person,0.856,507,356,706,359,pose,9.9
2026-03-31 01:04:06.790503,148,person,0.798,504,361,709,355,pose,10.1
2026-03-31 01:04:06.889001,149,person,0.779,505,349,728,364,pose,10.1
2026-03-31 01:04:06.990493,150,person,0.841,514,359,726,354,pose,10.0
2026-03-31 01:04:07.092191,151,person,0.803,488,367,732,346,pose,10.0
2026-03-31 01:04:07.294155,153,person,0.674,497,312,442,397,pose,9.9
2026-03-31 01:04:07.390687,154,person,0.82,337,289,595,424,pose,9.9
2026-03-31 01:04:07.489396,155,person,0.722,481,274,442,437,pose,10.1
2026-03-31 01:04:07.590591,156,person,0.766,333,254,595,458,pose,10.0
2026-03-31 01:04:07.687203,157,person,0.797,338,247,602,465,pose,10.0
2026-03-31 01:04:07.787960,158,person,0.814,466,244,473,467,pose,10.0
